"","Type","Subpopulation","Indicator","Category","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"1","ReportingUnit.1","Rio Grande Del Norte NM","HerbLitter.Eval","Suitable",56,39.5771963264599,3.53216336728248,32.6542833390745,46.5001093138453,303772,27110.8726741409,250635.665969233,356908.334030767
"2","ReportingUnit.1","Rio Grande Del Norte NM","HerbLitter.Eval","Unsuitable",89,60.4228036735401,3.53216336728248,53.4998906861547,67.3457166609255,463771,27110.8726741409,410634.665969233,516907.334030767
"3","ReportingUnit.1","Rio Grande Del Norte NM","HerbLitter.Eval","Total",145,100,NA,NA,NA,767543,NA,NA,NA
"4","ReportingUnit.2","One","HerbLitter.Eval","Suitable",24,42.29068661474,4.89560046772372,32.695486015304,51.8858872141759,317.18014961055,36.7170035079279,245.21614511478,389.144154106319
"5","ReportingUnit.2","One","HerbLitter.Eval","Unsuitable",35,57.70931338526,4.89560046772372,48.1141127858241,67.304513984696,432.81985038945,36.7170035079279,360.855845893681,504.78385488522
"6","ReportingUnit.2","One","HerbLitter.Eval","Total",59,100,NA,NA,NA,750,NA,NA,NA
"7","ReportingUnit.2","Two","HerbLitter.Eval","Suitable",32,37.726670099817,4.76963808105507,28.3783512416584,47.0749889579757,188.633350499085,23.8481904052754,141.891756208292,235.374944789878
"8","ReportingUnit.2","Two","HerbLitter.Eval","Unsuitable",54,62.273329900183,4.76963808105507,52.9250110420243,71.6216487583416,311.366649500915,23.8481904052754,264.625055210122,358.108243791708
"9","ReportingUnit.2","Two","HerbLitter.Eval","Total",86,100,NA,NA,NA,500,NA,NA,NA
"10","ReportingUnit.1","Rio Grande Del Norte NM","RockCover.Eval","Suitable",5,2.21056019011313,1.0220852086848,0.207309991959808,4.21381038826645,16967,7844.9434732956,1591.19333158806,32342.8066684119
"11","ReportingUnit.1","Rio Grande Del Norte NM","RockCover.Eval","Unsuitable",140,97.7894398098869,1.0220852086848,95.7861896117335,99.7926900080402,750576,7844.9434732956,735200.193331588,765951.806668412
"12","ReportingUnit.1","Rio Grande Del Norte NM","RockCover.Eval","Total",145,100,NA,NA,NA,767543,NA,NA,NA
"13","ReportingUnit.2","One","RockCover.Eval","Unsuitable",59,100,0,100,100,750,0,750,750
"14","ReportingUnit.2","One","RockCover.Eval","Total",59,100,NA,NA,NA,750,NA,NA,NA
